Variety,Treatment,Time,,,,,,
AberDart,cntr20,1,,,,,,
DaVinci,cntr20,1,,,,,,
AberGlyn,cntr20,1,,,,,,
AberGlyn,flood,1,,,,,,
DaVinci,flood,1,,,,,,
AberDart,flood,1,,,,,,
Bx511,flood,1,,,,,,
Premium,flood,1,,,,,,
Barolex,flood,1,,,,,,
AberClyde,flood,1,,,,,,
Barolex,cntr20,1,,,,,,
AberClyde,cntr20,1,,,,,,
AberNiche,cntr20,1,,,,,,
AberEcho,cntr20,1,,,,,,
AberZeus,cntr20,1,,,,,,
Premium,cntr20,1,,,,,,
Bx511,cntr20,1,,,,,,
Barolex,drought,1,,,,,,
AberClyde,drought,1,,,,,,
AberNiche,drought,1,,,,,,
AberDart,drought,1,,,,,,
AberEcho,flood,1,,,,,,
AberZeus,flood,1,,,,,,
AberNiche,flood,1,,,,,,
AberEcho,drought,1,,,,,,
AberZeus,drought,1,,,,,,
Bx511,drought,1,,,,,,
Premium,drought,1,,,,,,
Barolex,cntr50,1,,,,,,
AberClyde,cntr50,1,,,,,,
AberNiche,cntr50,1,,,,,,
DaVinci,drought,1,,,,,,
AberGlyn,drought,1,,,,,,
AberGlyn,cntr50,1,,,,,,
DaVinci,cntr50,1,,,,,,
AberDart,cntr50,1,,,,,,
AberEcho,cntr50,1,,,,,,
AberZeus,cntr50,1,,,,,,
Bx511,cntr50,1,,,,,,
Premium,cntr50,1,,,,,,
AberEcho,heat,1,,,,,,
AberZeus,heat,1,,,,,,
Bx511,heat,1,,,,,,
Premium,heat,1,,,,,,
Barolex,heat,1,,,,,,
AberClyde,heat,1,,,,,,
AberNiche,heat,1,,,,,,
AberDart,heat,1,,,,,,
DaVinci,heat,1,,,,,,
AberGlyn,heat,1,,,,,,
AberDart,cntr50,2,,,,,,
Bx511,cntr50,2,,,,,,
Premium,cntr50,2,,,,,,
Barolex,cntr20,2,,,,,,
AberClyde,cntr20,2,,,,,,
AberNiche,cntr20,2,,,,,,
Barolex,cntr50,2,,,,,,
AberClyde,cntr50,2,,,,,,
AberNiche,cntr50,2,,,,,,
AberEcho,cntr50,2,,,,,,
AberZeus,cntr50,2,,,,,,
AberGlyn,cntr50,2,,,,,,
DaVinci,cntr50,2,,,,,,
Barolex,drought,2,,,,,,
AberClyde,drought,2,,,,,,
AberNiche,drought,2,,,,,,
AberEcho,drought,2,,,,,,
AberZeus,drought,2,,,,,,
AberGlyn,drought,2,,,,,,
AberEcho,cntr20,2,,,,,,
AberZeus,cntr20,2,,,,,,
AberGlyn,cntr20,2,,,,,,
DaVinci,cntr20,2,,,,,,
AberDart,cntr20,2,,,,,,
Bx511,cntr20,2,,,,,,
Premium,cntr20,2,,,,,,
DaVinci,drought,2,,,,,,
AberDart,drought,2,,,,,,
Bx511,drought,2,,,,,,
Premium,drought,2,,,,,,
Barolex,flood,2,,,,,,
AberClyde,flood,2,,,,,,
AberNiche,flood,2,,,,,,
Barolex,heat,2,,,,,,
AberClyde,heat,2,,,,,,
AberNiche,heat,2,,,,,,
AberEcho,heat,2,,,,,,
AberZeus,heat,2,,,,,,
AberGlyn,heat,2,,,,,,
DaVinci,heat,2,,,,,,
AberDart,heat,2,,,,,,
Bx511,heat,2,,,,,,
Premium,heat,2,,,,,,
AberEcho,flood,2,,,,,,
AberZeus,flood,2,,,,,,
AberGlyn,flood,2,,,,,,
DaVinci,flood,2,,,,,,
AberDart,flood,2,,,,,,
Bx511,flood,2,,,,,,
Premium,flood,2,,,,,,
AberClyde,drought,3,,,,,,
Barolex,drought,3,,,,,,
Premium,drought,3,,,,,,
Bx511,drought,3,,,,,,
AberDart,drought,3,,,,,,
DaVinci,drought,3,,,,,,
AberGlyn,drought,3,,,,,,
AberZeus,drought,3,,,,,,
AberEcho,drought,3,,,,,,
AberNiche,drought,3,,,,,,
AberDart,cntr20,3,,,,,,
AberGlyn,cntr20,3,,,,,,
DaVinci,cntr20,3,,,,,,
AberZeus,cntr50,3,,,,,,
AberEcho,cntr50,3,,,,,,
AberNiche,cntr50,3,,,,,,
AberClyde,cntr50,3,,,,,,
AberZeus,cntr20,3,,,,,,
AberEcho,cntr20,3,,,,,,
AberNiche,cntr20,3,,,,,,
AberClyde,cntr20,3,,,,,,
Barolex,cntr20,3,,,,,,
Premium,cntr20,3,,,,,,
Bx511,cntr20,3,,,,,,
AberEcho,heat,3,,,,,,
AberNiche,heat,3,,,,,,
AberClyde,heat,3,,,,,,
Barolex,heat,3,,,,,,
Premium,heat,3,,,,,,
Bx511,heat,3,,,,,,
AberDart,heat,3,,,,,,
Barolex,cntr50,3,,,,,,
Premium,cntr50,3,,,,,,
Bx511,cntr50,3,,,,,,
AberDart,cntr50,3,,,,,,
DaVinci,cntr50,3,,,,,,
AberGlyn,cntr50,3,,,,,,
AberZeus,heat,3,,,,,,
Premium,flood,3,,,,,,
Bx511,flood,3,,,,,,
AberDart,flood,3,,,,,,
DaVinci,flood,3,,,,,,
AberGlyn,flood,3,,,,,,
DaVinci,heat,3,,,,,,
AberGlyn,heat,3,,,,,,
AberZeus,flood,3,,,,,,
AberEcho,flood,3,,,,,,
AberNiche,flood,3,,,,,,
AberClyde,flood,3,,,,,,
Barolex,flood,3,,,,,,
