,"(2E,4E)-3,7-Dimethyl-2,4-octadiene","(2E,4E)-3,7-Dimethylocta-2,4-diene","1,2-Benzenedicarboxylic acid","1,2-Benzenedicarboxylic acid, bis(2-methylpropyl) ester","1,2-Benzisothiazole","1,3,7-Octatriene, 2,7-dimethyl-","1,3-Hexadiene, 3-ethyl-2,5-dimethyl-","1,3-Octadiene","1,3-Pentadiene","1,6-Octadiene, 2,6-dimethyl-, (Z)-","1,6-Octadiene, 3,7-dimethyl-, (S)-","1,7-Octadiene, 2,7-dimethyl-",1-Butanol,"1-Butanol, 3-methyl-","1-Butene, 3-methyl-",1-Dodecanethiol,1-Dodecanol,1-Dodecene,1-Heptene,1-Hexadecanol,1-Hexanol,"1-Hexanol, 2-ethyl-",1-Octadecanol,1-Octanol,1-Octene,"1-Octene, 3,7-dimethyl",1-Pentanethiol,1-Pentanol,1-Penten-3-ol,"1-Pentene, 2,4,4-trimethyl-",1-Propanol,"1-Propanol, 2-methyl-",2(5H)-Furanone,"2,4-Dimethylfuran","2,4-Hexadiene, (E,Z)-","2,4-Octadiene","2,5-Furandione, 3-methyl-","2,6-Dimethyl-2-trans-6-octadiene","2,6-Octadiene","2,6-Octadiene, 2,6-dimethyl-",2-Butanol,2-Butanone,2-Butenal,2-Cyclopenten-1-one,"2-Decenal, (Z)-",2-Ethylhexyl salicylate,2-Heptanone,"2-Heptene, (E)-",2-Methyl-1-butene,"2-Nonanone, 3-(hydroxymethyl)-","2-Nonene, (E)-",2-Octanone,"2-Octene, (E)-","2-Octene, (Z)-","2-Octene, 3,7-dimethyl-, (Z)-",2-Pentanone,"2-Pentanone, 3-methyl-","2-Pentene, (E)-","2-Pentene, 4-methyl-",2-Thiophenecarboxaldehyde,"3,5-Octadiene, (Z,Z)-","3-Ethyl-1,5-octadiene",3-Hexen-1-ol,"3-Hexene, (Z)-",3-Methyl-2-butene-1-thiol,3-Methylcyclopentyl acetate,"3-Nonene, (E)-",3-Octanone,"3-Octene, (E)-","3-Octene, (Z)-",3-Pentanol,3-Pentanone,"4-Nonenal, (E)-",4-Nonene,"4-Octene, (E)-","5-Decene, (E)-","5-Hepten-2-one, 6-methyl-",Acetaldehyde,Acetic acid,"Acetic acid, butyl ester","Acetic acid, methyl ester",Acetophenone,Benzaldehyde,Benzene,"Benzene, 1,1'-[1,2-ethanediylbis(oxy)]bis-","Benzene, 1,3-dimethyl-",Benzeneacetaldehyde,"Benzenesulfonamide, N-butyl-",Benzoic acid,Benzonitrile,Benzophenone,"Butanoic acid, ethyl ester","Butanoic acid, methyl ester",Butyrolactone,C2H5CH=CHCH=CH2,Carbon disulfide,cis-2-Nonene,"Cyclopentaneacetic acid, 3-oxo-2-pentyl-, methyl ester","Cyclopropane, 1,1-dimethyl-2-(2-methyl-2-propenyl)-",Decanal,Decane,Dimethyl sulfide,Dimethyl sulfone,Dimethyl Sulfoxide,Dimethyl trisulfide,Diphenyl ether,"Disulfide, dimethyl",Dodecane,Dodecanoic acid,Eicosane,"Ethane, isothiocyanato-",Ethanol,"Ethanol, 2-(dodecyloxy)-",Ethyl Acetate,Ethylbenzene,"Furan, 2-ethyl-","Furan, 2-methyl-","Furan, 2-pentyl-","Furan, 3-methyl-",Glycerin,Heptadecane,Heptanal,Heptane,"Heptane, 2-methyl-",Hexadecane,"Hexadecenoic acid, Z-11-",Hexanal,Hexanoic acid,"Hydrazine, ethyl-",Isoprene,Isopropyl myristate,Isopropyl palmitate,Methanethiol,Methyl Isobutyl Ketone,Methyl methacrylate,Methyl thiolacetate,Methyl vinyl ketone,n-Decanoic acid,n-Hexadecanoic acid,n-Hexane,n-Propyl acetate,Nonadecane,Nonanal,Nonane,"Nonane, 2-methyl-",Nonanoic acid,Octadecane,Octadecanoic acid,Octanal,"Octane, 2-methyl-",Octanoic acid,p-Xylene,Pentadecane,Pentadecanoic acid,Pentanal,"Pentane, 2-methyl-",Pentanoic acid,"Pentanoic acid, 2,2,4-trimethyl-3-carboxyisopropyl, isobutyl ester",Phenol,Phenylmaleic anhydride,Propanoic acid,"Propanoic acid, ethyl ester",Alkene1,Alkene2,Acid1,Sulfone1,Biphenyl1,Alcohol1,Amide1,Tetradecanoic acid,"Tetrasulfide, dimethyl",Thiazole,"Thiazole, 2-methyl-",Thiophene,"Thiophene, 2-ethyl-","Thiophene, 2-methyl-","Thiophene, 3,4-dimethyl-","Thiophene, 3-methyl-",Toluene,trans-3-Decene,trans--4-Nonene,Tridecane
190122_10,3.14816977,0.878254274,0.188479644,3.487075608,0.076750226,0.049781281,0.064469208,0.014454829,0.055230855,0.010382592,0.77160123,0.292228891,0.175148044,0.020321252,0.617723112,0.010983984,0.016994468,0.017746037,0.061933815,0.097951928,0.058252356,0.190437803,0.07064208,0.025540896,0.125056376,0.063569266,0.018697351,0.051205062,0.097799594,0.048342407,0.094995549,0.207459024,0.027441984,0.05748697,0.009667566,0.068359102,0.043770312,0.041629877,0.012812315,0.040235335,0.887202898,3.562875202,0.112206681,0.044452403,0.030805972,0.019454905,0.26465598,0.015876476,0.326346202,0.077561858,0.061586026,0.146931852,0.590018834,1.227293963,1.130448939,0.239788924,3.729702459,0.656003787,0.242640755,0.021458363,0.014760728,0.009727738,0.037157402,0.021761226,0.025212644,0.06114425,0.016517073,0.078332325,4.193834695,0.068043237,0.133177265,0.276494034,0.01714799,0.013115596,1.226416395,0.012561814,0.079012238,0.835714356,10.22393343,0.076797022,0.144418833,0.373593344,0.460658223,1.113407477,0.034887625,0.072123856,0.066041847,1.384933336,0.691326103,0.085514198,0.073682106,0.04110562,0.023695073,0.24272823,0.017202728,16.91591698,0.141197367,0.032350449,0.011255891,0.090545581,0.06090629,4.354544412,0.616954955,6.389956168,0.725143653,0.054454425,2.327979526,0.033861816,0.008584819,0.036979394,0.015410697,1.088859873,0.022120235,0.434309898,0.142102744,0.09734739,0.062272781,0.090653231,0.08057447,0.047501735,0.044932768,0.253037274,0.36655837,0.031770024,0.02860851,0.035053467,0.493452076,0.103277528,8.831520395,0.209172974,0.082231746,0.086429079,0.132375314,0.049675017,0.039843149,0.202058621,0.106953772,0.010028599,0.078537373,2.255451296,0.051993329,0.044869296,0.291119765,0.208533719,0.030412663,0.024828048,0.041523834,0.236431779,0.248934038,0.097743536,0.04308963,0.074006375,0.030789735,0.0396581,0.446352252,0.077676394,0.06786008,0.528811222,0.955290598,0.119634105,0.290245718,0.054895211,0.003831174,0.035975564,0.022234859,0.093921713,0.050171663,0.14943673,0.20706917,0.011011617,0.04492454,0.069430431,0.007549506,0.280261582,0.04514523,0.294858668,0.015424778,0.102259375,0.120777486,0.032174663,0.01178523,0.031729653
190122_11,3.453348742,1.392454852,0.135475547,3.215926151,0.037493946,0.308960547,0.122528548,0.013960022,0.065649323,0.017945933,1.34652658,1.599903595,0.156777497,0.025466783,0.772750178,0.01012985,0.011949233,0.01472923,0.031078037,0.176664848,0.043633506,0.169310041,0.090565172,0.010465563,0.077124144,0.03884811,0.021997687,0.03115339,0.095347318,0.163360361,0.145659847,0.1856575,0.019743738,0.075470131,0.021522799,0.177837832,0.040817329,0.110735986,0.014049899,0.063808917,1.019055413,3.252178913,0.06120174,0.014067772,0.021811096,0.006818673,0.057188168,0.014076391,0.378236827,0.010412877,0.027169421,0.056269263,0.632065964,1.249374363,2.678566891,0.106550506,3.422942765,0.816654724,0.268439798,0.017288596,0.01758145,0.010734839,0.03470535,0.02757478,0.029354515,0.045536604,0.022802462,0.056827232,4.161725159,0.146180526,0.133326614,0.315526173,0.013553909,0.023226526,1.251364505,0.015496854,0.05709623,0.89537653,9.317009364,0.041921536,0.138705525,0.221315202,0.235468274,0.531478077,0.034663462,0.111771795,0.053623944,0.042700692,0.773898017,0.061349693,0.030803292,0.055609846,0.022742286,0.080422343,0.023651086,12.96963326,0.025837111,0.011385895,0.010876233,0.11347471,0.054724228,5.698686174,0.718281157,8.187463325,1.018314678,0.058462283,2.360112629,0.022435582,0.015298691,0.060692752,0.007471691,1.774962539,0.017426939,0.456412236,0.301903033,0.100097227,0.12077055,0.035852138,0.071929703,0.070469691,0.02622975,0.093876844,0.357528255,0.03102862,0.021293429,0.042287387,0.109603166,0.08211113,8.464947431,0.293561319,0.033914881,0.313768254,0.23185489,0.029128732,0.071443442,0.232839162,0.11144918,0.023178734,0.103297008,2.391918938,0.054001722,0.049022008,0.111543535,0.21094332,0.020644692,0.036911348,0.029784722,0.497221797,0.069285949,0.102286799,0.05414912,0.114716805,0.019047525,0.036173842,0.164986813,0.072543529,0.075194139,0.083618677,0.206162125,0.092751911,0.173244436,0.171763559,0.007091932,0.090530933,0.016487387,0.057889216,0.175294555,0.115080376,0.457839019,0.015430714,0.043178175,0.061701277,0.007359305,0.261668877,0.055343503,0.704272333,0.015707657,0.301237275,0.089940607,0.02960041,0.021938284,0.025851219
190122_12,2.806460242,0.76415972,0.176254497,3.886737879,0.078307342,0.044040115,0.04451662,0.016738347,0.071403435,0.007494635,0.634490315,0.271985807,0.119167013,0.020464328,0.534839084,0.015504815,0.015414624,0.015452548,0.038550287,0.149951309,0.04272525,0.130628375,0.166592935,0.013732514,0.082922217,0.030994907,0.01872095,0.030820581,0.106165975,0.271584057,0.086100357,0.226032904,0.023914109,0.064013001,0.008589818,0.089321954,0.045201337,0.036722513,0.009617203,0.031735169,0.993110618,4.084998898,0.110395318,0.024116836,0.021258637,0.106385657,0.073058141,0.013477187,0.299553825,0.013711807,0.025074429,0.063891654,0.446265822,1.204895178,1.054761136,0.126462792,4.252046253,0.56794034,0.205346709,0.024657244,0.014143691,0.007296634,0.041335345,0.02021216,0.023816937,0.042706775,0.016758413,0.070664456,4.202900844,0.048272284,0.134540959,0.223426446,0.015522411,0.012770646,1.206360289,0.010346755,0.070987033,0.768027209,10.86411467,0.042108163,0.118915653,0.362806783,0.368556378,0.953819784,0.033075158,0.054115371,0.079940059,0.050486111,1.044173256,0.082874533,0.045435292,0.035867957,0.022184908,0.120118575,0.017288348,18.98413487,0.032436509,0.023564032,0.010743826,0.126838943,0.053491469,3.873578615,0.57564048,5.184448629,0.88680437,0.066526181,2.839559218,0.026877696,0.013384836,0.098174365,0.009888938,1.080141235,0.036201316,0.512736625,0.10674281,0.16873754,0.034517187,0.029575081,0.116805101,0.124491563,0.042786042,0.120588193,0.281783937,0.033577713,0.027364768,0.067872392,0.142560899,0.076335734,9.621588848,0.246485905,0.087991701,0.050845829,0.142044072,0.033956286,0.120437187,0.195911597,0.085639596,0.019824254,0.170469946,1.772526214,0.052453256,0.075258053,0.131516509,0.208969913,0.025264095,0.027202435,0.053120163,0.701727621,0.075783904,0.119347466,0.049321612,0.055679911,0.022147056,0.061154874,0.194482985,0.087002264,0.083652243,0.084875778,0.347046071,0.17018173,0.226576423,0.281902505,0.002946442,0.027534297,0.025821459,0.049697121,0.235420023,0.154555949,0.69099251,0.017745927,0.019473418,0.079694303,0.007395967,0.336402908,0.056275839,0.311977814,0.013752699,0.119553684,0.126209722,0.024511723,0.011689166,0.031601759
190122_13,3.67590277,0.710887147,0.568766625,0.139222273,0.025965915,0.099702272,0.05115947,0.028114445,0.018348942,0.010331401,0.708106738,0.609875172,0.182197284,0.037664835,0.326836054,0.016879339,0.016916501,0.023113346,0.049512004,0.100162467,0.057426358,0.10049392,0.109877127,0.015222692,0.061475512,0.034670151,0.027936493,0.034605141,0.036618265,1.017684555,0.082970256,0.236115581,0.018936598,0.016846458,0.008507174,0.102211914,0.074861973,0.046091419,0.011121944,0.035156209,0.999799338,1.508234869,0.046503815,0.010966634,0.031606308,0.074144781,0.072661099,0.018317033,0.217477026,0.010197142,0.021624456,0.074307418,0.170364635,1.095923552,2.036617597,0.112774493,1.633962065,0.349429226,0.195998745,0.008093498,0.011262073,0.013342458,0.041807423,0.018235648,0.034401193,0.050663615,0.026986623,0.11250196,3.336862805,0.059816968,0.037441866,0.15280072,0.020876679,0.020432196,1.096046203,0.01481237,0.11473161,1.413123859,14.8778312,0.053882416,0.128286666,0.271979272,0.246004397,0.995391147,0.02020221,0.055672217,0.05790553,0.137217579,0.753255701,0.062621739,0.031698771,0.022819143,0.035912504,0.075719205,0.013006636,22.41115854,0.027289653,0.013258646,0.016407846,0.145822776,0.063009199,2.635142207,0.47208053,2.458299278,0.156998742,0.130500162,0.481809931,0.033514303,0.017310713,0.075302924,0.02114674,2.310431777,0.033513906,0.521045394,0.164770937,0.049296626,0.025912689,0.034656823,0.054043817,0.064619548,0.043232229,0.157924117,0.249599668,0.047992131,0.031614915,0.076122024,0.140025837,0.075491998,14.30200679,0.052101132,0.089694425,0.011533899,0.110801311,0.03839796,0.407370903,0.146122099,0.096297267,0.035206081,0.145995696,1.282584019,0.062588991,0.063134807,0.137718686,0.256332179,0.033168021,0.046232827,0.05314682,0.49579389,0.071311013,0.140383506,0.051483244,0.057706085,0.024914887,0.074014583,0.227558712,0.135216194,0.061638591,0.100743149,0.212315541,0.226826646,0.256475661,1.046349142,0.003765985,0.030738573,0.030533301,0.025938552,1.037004332,0.220257038,0.993180166,0.029281901,0.007867483,0.113456553,0.006909138,0.335636018,0.043353865,0.182395317,0.012046526,0.319043026,0.109701426,0.030998792,0.018649898,0.023679641
190122_14,2.383380039,0.545473848,0.22655784,0.072442017,0.038071063,0.082076544,0.035703525,0.014011242,0.033181616,0.00745533,0.519843093,0.607868242,0.152986031,0.032951217,0.996249608,0.01027225,0.011903485,0.016029314,0.034129997,0.040462591,0.038790381,0.101676644,0.049237288,0.014644882,0.070475377,0.028317846,0.039729917,0.034687333,0.029788334,0.088402158,0.118959705,0.171752131,0.021051638,0.018224412,0.005500358,0.106323849,0.049114516,0.035983063,0.007046116,0.026927946,0.983707141,1.629059577,0.036252394,0.009101358,0.026770122,0.009692058,0.066533781,0.015921813,0.702351555,0.012198419,0.018363992,0.047259838,0.141738312,0.801404534,1.778784775,0.085034202,1.74179502,1.070656098,0.239786387,0.010471955,0.009867043,0.036098854,0.037919312,0.019159866,0.036327539,0.03666317,0.027582829,0.060582479,2.401072264,0.055488387,0.031984541,0.182653333,0.015249744,0.020262291,0.800781175,0.012436201,0.061140697,0.723120127,11.52991747,0.042005049,0.746112903,0.354198501,0.224546118,0.823396161,0.015017985,0.042303511,0.088457622,0.093347674,0.838675892,0.079525302,0.048295938,0.01515769,0.023674975,0.077453404,0.012841207,17.24657022,0.031300225,0.007196784,0.011980822,0.060386352,0.047410429,6.653090345,0.934529878,10.39331265,1.79098957,0.080261176,4.405071295,0.027472077,0.012995402,0.103293516,0.017971989,2.313616697,0.016247314,1.081605154,0.158656989,0.057795195,0.029145749,0.045283546,0.113069765,0.034603166,0.045733457,0.112720929,0.295049567,0.053882452,0.025912837,0.039782659,0.127541425,0.056742664,10.53043468,0.188015068,0.033955138,0.007288434,0.405720068,0.030774237,0.050220873,0.137490769,0.099449215,0.026073609,0.106707737,0.844143818,0.041536541,0.077741207,0.173694655,0.237976462,0.02484554,0.061000463,0.085014446,0.23421086,0.07098118,0.12042087,0.048559322,0.043677208,0.017033915,0.046122184,0.182721951,0.205340768,0.042344309,0.108388666,0.185919231,0.388568119,0.190111032,0.094517054,0.004106753,0.025742715,0.02208033,0.141048502,0.156191652,0.124932275,0.339764664,0.021323515,0.036517341,0.155983278,0.006306639,0.363658169,0.041768224,0.475406198,0.015560453,0.387483333,0.085267373,0.025724622,0.018530006,0.012498671
190122_15,2.885019485,0.599347491,0.197829237,0.488361416,0.058030511,0.083074773,0.042946442,0.026980523,0.020961571,0.009586582,0.589894242,0.503203849,0.575752465,0.029965082,0.539551857,0.01257984,0.015051536,0.018763203,0.039605152,0.077423902,0.069399808,0.195994456,0.085702278,0.01702615,0.061081041,0.032342865,0.023390482,0.03569929,0.030366149,0.100997132,0.092095294,0.236331017,0.036267937,0.014625988,0.006444856,0.090977985,0.056850787,0.04211614,0.008466814,0.030927197,0.830985549,1.294287407,0.05076098,0.024322555,0.030633204,0.020549605,0.093197405,0.011555666,0.356938373,0.018479429,0.023700418,0.093428434,0.166175093,0.933047245,1.56527488,0.107559766,1.393843678,0.578925657,0.209635627,0.0166397,0.009492864,0.015509778,0.036173281,0.017422529,0.027793038,0.051058757,0.023876504,0.089980329,2.851363207,0.065528839,0.040535413,0.16737173,0.018877683,0.018741504,0.931038287,0.015431066,0.090325191,1.232602339,12.10508376,0.099793768,0.579412551,0.298547219,0.261841801,0.911784211,0.072347597,0.059908981,0.062060263,4.448912329,0.572650904,0.062459487,0.10043838,0.01810336,0.025518771,0.129284276,0.009938365,21.83971743,0.038456086,0.016950283,0.012246199,0.116053421,0.059968776,2.908261434,0.543766815,5.2849628,0.566364961,0.098324191,1.77446672,0.032466174,0.021876568,0.065956133,0.030381187,2.232383081,0.031892902,0.52077588,0.15790726,0.047412996,0.029968186,0.044594562,0.056973319,0.188474525,0.041965149,0.166971019,0.269178564,0.041105452,0.031071978,0.060900978,0.141695695,0.071848284,11.61469977,0.064924425,0.067780824,0.010477487,0.250131393,0.033198974,0.063575633,0.145552047,0.076177948,0.036477041,0.306887556,1.004417949,0.043617022,0.057485891,0.149402707,0.228699291,0.031296928,0.044894732,0.058710954,0.360870527,0.086017647,0.140008638,0.042692452,0.061768243,0.02141742,0.085987184,0.214502764,0.140059216,0.061095884,0.606102509,0.544680034,0.137846167,0.19920542,0.108783956,0.003307592,0.02503566,0.041645285,0.089874936,1.223187833,0.153917608,1.364958037,0.048293553,0.011466314,0.132681544,0.006565254,0.273056389,0.036718548,0.203618518,0.015330685,0.122161176,0.110237622,0.036699371,0.01698702,0.017289551
190122_16,3.323469574,0.728381503,0.411373116,0.499329662,0.151154047,0.080110502,0.047966563,0.017756975,0.019854118,0.01201273,0.700294196,0.788058901,0.221140435,0.032791305,0.406706064,0.021763367,0.026269267,0.024753719,0.049694139,0.311463505,0.079977581,0.257321193,0.323634967,0.025764804,0.076626377,0.048494378,0.032954022,0.041239537,0.039195207,0.442670437,0.116932779,0.192080329,0.041747836,0.024630517,0.008794746,0.137425622,0.069753729,0.049831418,0.010458486,0.038316484,0.861921887,1.342890819,0.052181294,0.026325318,0.041232052,0.18478549,0.119567605,0.014180374,0.256378934,0.02598063,0.039935085,0.115467547,0.208755233,1.142125054,2.368963418,0.145547155,1.44829995,0.434652962,0.191441232,0.016079977,0.012105503,0.016774754,0.04423961,0.014263129,0.039844174,0.070045717,0.032362931,0.150402213,3.271832853,0.082278668,0.043118098,0.155632163,0.025116544,0.027886527,1.140596247,0.018331232,0.150971293,1.27336651,11.98755594,0.059330214,0.112400771,0.688329212,0.594039192,2.809491909,0.43768309,0.07226729,0.198292688,0.363668114,2.359342351,0.127531635,0.188662013,0.018672904,0.026197424,0.143273516,0.012655664,17.42567984,0.054081195,0.031880814,0.015315853,0.144897331,0.084546832,3.548173538,0.363927254,2.393769985,0.198014144,0.132994432,0.777369542,0.051450913,0.026981399,0.294060677,0.02354487,2.256422909,0.062709351,0.459580459,0.161561509,0.05638988,0.032205167,0.069784157,0.043290498,0.333519419,0.108193228,0.210787274,0.234625176,0.042887226,0.066314369,0.107165234,0.185527566,0.096633192,11.44909699,0.056656097,0.15255131,0.182812033,0.085141498,0.043761739,0.190933119,0.119784511,0.090088995,0.041561321,0.417085668,0.931921534,0.05362135,0.212785013,0.21251835,0.286702263,0.040210799,0.062669873,0.172359655,1.078749156,0.119684401,0.181892604,0.090227354,0.074482978,0.042138297,0.108010214,0.247397598,0.134919807,0.093300945,0.578531014,0.597337473,0.734727714,0.258210418,0.459893788,0.004261546,0.032945009,0.044910551,0.573844297,0.519764703,0.275065506,1.761256172,0.044018384,0.014503461,0.081513575,0.008806068,0.444972977,0.047711855,0.214686813,0.01570743,0.169175562,0.184490559,0.038855658,0.026001188,0.063989334
190122_17,2.216704391,0.444011465,0.230714428,3.628184231,0.170147565,0.061955511,0.031935083,0.021495735,0.012846469,0.00946262,0.455214024,0.372905967,0.18512815,0.026409062,0.274193847,0.023422791,0.027233245,0.021393733,0.039379075,0.507380253,0.062097456,0.255807585,0.852350193,0.029229959,0.061984711,0.048364089,0.026534778,0.03399957,0.024803553,0.118739434,0.090939152,0.171072379,0.060786151,0.014899326,0.00791897,0.067163785,0.055889624,0.032588293,0.008101172,0.02691044,0.711122125,1.061925063,0.043529048,0.031205159,0.04471538,0.089862565,0.150326255,0.010960813,0.164411941,0.030864297,0.048803495,0.133946136,0.138541201,0.739118324,1.219302161,0.121212697,1.14868287,0.292097873,0.130663346,0.010163173,0.007708053,0.017131101,0.032423576,0.010797897,0.031130558,0.145227896,0.026077571,0.134328998,2.179595148,0.047741108,0.0301096,0.125839106,0.023445362,0.023441905,0.736698261,0.015686966,0.134361227,1.066070493,10.85490584,0.051301302,0.12258346,0.460273068,0.444193296,0.954779994,0.122980265,0.116658347,0.102635176,0.412863021,1.233807767,0.091620305,0.504475069,0.013842197,0.023241702,0.197775387,0.008850526,12.30631711,0.061777794,0.065260358,0.012321861,0.240220792,0.077570933,4.834066772,0.566616353,6.284779742,0.106799292,0.082067168,0.489345996,0.051805766,0.080049568,0.453995036,0.025292846,1.597846293,0.086601233,0.465572115,0.128318398,0.039560563,0.031067357,0.085710906,0.037473448,0.407923465,0.165151609,0.251912844,0.19394539,0.036774724,0.101566475,0.758298568,0.184906861,0.091759935,10.41182408,0.040807095,0.195682786,0.149643188,0.077326872,0.035388247,0.065678192,0.117824535,0.085708535,0.046567034,1.990084335,0.666376802,0.040638979,0.34762735,0.270673568,0.25266874,0.042643121,0.066229972,0.323030199,1.817642337,0.142541001,0.147309069,0.08611774,0.119584131,0.052330774,0.460084494,0.202108478,0.127378099,0.138790776,1.559260601,0.622160173,0.259840728,0.195294895,0.127695047,0.002914013,0.018649008,0.077935967,2.254530386,1.799241161,0.218471139,4.9936087,0.438534244,0.009094844,0.088338858,0.014996528,0.219766301,0.030311546,0.137128981,0.00945842,0.097808621,0.153939849,0.033680594,0.021358847,0.056638721
190122_18,2.750788684,0.583909876,0.43134691,3.668842834,0.251281225,0.064578489,0.039610185,0.017331756,0.017702203,0.011776409,0.544324332,0.637390114,0.239041923,0.029857028,0.226036701,0.027189416,0.03227121,0.024850065,0.051062142,0.257127575,0.071588049,0.278010054,0.286119982,0.027071141,0.080160625,0.047722454,0.02824543,0.038972151,0.032860871,0.186634686,0.127114048,0.205849191,0.047966622,0.019340923,0.010890187,0.115858517,0.06672159,0.041639519,0.012393262,0.031420009,0.792483719,1.269144284,0.061471191,0.036950436,0.049195016,0.034326757,0.136249687,0.01678159,0.139741728,0.030842476,0.047411318,0.126981479,0.186718079,1.017360322,1.944069357,0.156835361,1.369204142,0.241185093,0.128800057,0.011988597,0.010572237,0.011643245,0.038715365,0.017838443,0.037459185,0.081907065,0.03076838,0.122132215,2.827440632,0.082925576,0.03966366,0.102753999,0.026047527,0.027369449,1.013255098,0.018946709,0.122504655,1.347439356,13.16848787,0.061782466,0.126986512,0.986389959,0.674359424,1.061705794,0.083199698,0.071426959,0.297951648,0.473655883,3.277715552,0.136554077,0.613563419,0.016490097,0.029084398,0.176225985,0.013197243,11.31892637,0.054152209,0.078118464,0.016281474,0.157143491,0.078277457,2.625848458,0.343784188,1.764417879,0.121219815,0.101870154,0.404782246,0.058676182,0.037035193,0.410183178,0.020298026,2.314927727,0.115034893,0.55063791,0.118472584,0.04771078,0.038567661,0.0647249,0.033072605,0.318332753,0.199429641,0.20137684,0.146103678,0.03801372,0.117460643,0.154677896,0.169421973,0.09829437,12.66140875,0.04381792,0.130148333,0.126506388,0.092847442,0.045224599,0.098733287,0.117398989,0.098120873,0.050610468,0.414688802,0.732342664,0.052150766,0.424038937,0.206047713,0.244220811,0.042483554,0.082368909,0.367958263,1.584662106,0.11404172,0.178094894,0.118750725,0.073762081,0.055925141,0.154862159,0.215182828,0.107183674,0.105155004,2.213100738,0.743694696,1.251057198,0.202847026,0.200303979,0.003756795,0.025832123,0.081084734,3.006304452,1.0943773,0.258962022,2.170976202,0.056552794,0.012401685,0.063816379,0.01361442,0.251937643,0.033927406,0.130237214,0.008964308,0.117320489,0.172955186,0.038370956,0.025202303,0.077589932
190122_19,2.207946894,0.620496362,0.213546733,2.003574421,0.060689466,0.075056395,0.034717374,0.029148643,0.028736737,0.007788514,0.558273325,0.478174179,0.185992427,0.044446219,1.061447718,0.012786198,0.014900541,0.014708912,0.043063766,0.074497667,0.047606265,0.113322238,0.671359675,0.010624085,0.067122258,0.022879179,0.025922991,0.032383255,0.033231661,0.175679452,0.141655682,0.167867827,0.016614032,0.034270408,0.006255619,0.093190742,0.038330381,0.039765074,0.007066,0.029109506,0.890117196,1.759060528,0.04788903,0.010391859,0.020096743,0.012139166,0.053088677,0.010510555,0.785517172,0.011117142,0.019465213,0.04601328,0.152091452,0.800253948,1.385381915,0.094013616,1.875297701,1.145791532,0.313185921,0.018542349,0.012115336,0.016421684,0.039823267,0.014436612,0.039156416,0.029617629,0.019113877,0.050235773,2.493864698,0.053629963,0.043750196,0.460547716,0.014258219,0.015917332,0.799776459,0.010379584,0.050099896,0.731755037,10.10336002,0.032816463,0.102051144,0.326481681,0.288876933,0.841345551,0.033339042,0.071096369,0.097899424,0.070411661,1.065015418,0.066056387,0.059265827,0.020065368,0.019949833,0.057029822,0.012221234,14.64590187,0.022748556,0.014540548,0.00987521,0.064228604,0.046349049,5.124854484,0.820612809,7.995366234,3.613728573,0.079950797,6.123317034,0.026522753,0.012497633,0.236318335,0.010757258,1.93553172,0.022138023,0.419818003,0.227257692,0.081976554,0.088383138,0.035575635,0.146611351,0.055106039,0.060967282,0.082120411,0.740866504,0.055338418,0.035596413,0.085727008,0.095191337,0.05012026,9.123843764,0.159191421,0.048835311,0.045594942,0.337576889,0.038753777,0.080245075,0.419586366,0.085905336,0.018710125,0.130815658,1.404049349,0.046371201,0.153909598,0.081588958,0.232073166,0.024530923,0.028441325,0.112085125,0.889275767,0.052319461,0.089685595,0.043105737,0.073173864,0.020481394,0.063662876,0.143589014,0.326857568,0.044154035,0.152176419,0.22071305,0.336673714,0.190233889,0.183039098,0.002870434,0.022925728,0.021104704,0.055555948,2.047711057,0.16149386,0.249311292,0.016226,0.277988092,0.078058389,0.005177626,0.358880351,0.057866105,0.589262985,0.027373972,0.222674181,0.114308244,0.023332118,0.014702677,0.029635224
